Protein	S0	S0	S0	S1	S1	S1	BayesFactor	FoldChange	RBstat	FDR	FLAG
Q2NKY5	0	0	0	0	0	107070	115.340	3.813	16666666666666962168450290488880117277286150963200.000	0.00000	
Q9UMY4	0	0	0	0	0	0	1.000	0.025	0.014	1.00000	
Q53GA7	0	0	0	0	0	0	1.000	0.025	0.010	1.00000	
Q53HV2	1184000	1245700	882070	184000000	190000000	176000000	inf	4.886	53079210769683835674379767750992038603276865765376.000	0.00000	
Q549M8	899290	855210	487660	0	269250	0	inf	-6.759	39447283952880711505135021711265549937231664250880.000	0.00000	
Q562R1	0	0	0	0	0	0	1.000	0.025	0.012	1.00000	
Q5RHS7	0	0	0	0	0	345740	3853.890	4.324	16666666666666962168450290488880117277286150963200.000	0.00000	
Q5T6W5	1876700	2258400	1635000	919260	993860	1310800	inf	-0.588	48638319449199175479915687973011514189639097253888.000	0.00000	
Q5T749	1211900	1066500	1650200	1005300	1026200	746510	1608261237717711273035777474806123605027412723614544402684686292959053183256726217910754571118372234199040.000	-0.335	35959475639329190353643882678468224405206705635328.000	0.00000	*
Q6FG99	1687000	1839600	1995000	1360700	1428000	1275600	3905061882549979231000520666025042203650156810448507279432830399015822595002610267353828598116357733005500200094962609457078742137953562692309902936609184699969717842798047375483309937131520.000	-0.305	67980074769994227237131592097183630278065651712.000	0.00000	*
Q6GPH4-6	0	0	0	0	0	0	1.000	0.025	0.025	1.00000	
Q8IVF2	0	0	0	0	0	0	1.000	0.025	0.024	1.00000	
Q8NBJ5	0	0	0	0	0	2134600	185606.788	5.212	16666666666666962168450290488880117277286150963200.000	0.00000	
Q96C19	0	410710	443380	0	0	0	22013957882.781	-5.993	33333333333333924336900580977760234554572301926400.000	0.00000	
Q96FQ6	1530100	1607600	578290	801050	186710	188050	inf	-1.371	66666666666667848673801161955520469109144603852800.000	0.00000	
Q99471	0	0	0	0	273430	0	412.803	3.602	16666666666666962168450290488880117277286150963200.000	0.00000	
Q9BUF5	0	0	0	27021	0	0	5.291	4.352	16666666666666962168450290488880117277286150963200.000	0.00000	
Q9BZK4	0	0	0	0	0	0	1.000	0.025	0.028	1.00000	
Q9C000	0	0	0	0	0	0	1.000	0.025	0.062	1.00000	
Q9HB15	0	0	0	0	0	0	1.000	0.025	0.005	1.00000	
Q9Y3D6	0	0	0	207940	0	0	16.880	4.082	16666666666666962168450290488880117277286150963200.000	0.00000	
Q9Y490	5274700	5522000	5532900	1744300	2466500	2759000	inf	-0.903	33333333333333924336900580977760234554572301926400.000	0.00000	
